id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Rental unit in Edinburgh · ★4.98 · 1 bedroom · 1 bed · 1 bath,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,126,3,492,2023-06-11,3.26,1,39,81,
24288,Loft in Edinburgh · ★4.62 · 2 bedrooms · 2 beds · 1.5 baths,46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94498320836646,-3.185293348616568,Entire home/apt,95,3,274,2023-05-29,1.77,1,46,46,
450745,Rental unit in Edinburgh · ★4.96 · 2 bedrooms · 2 beds · 1 bath,2238338,Jen,,"Canongate, Southside and Dumbiedykes",55.943081,-3.178438,Entire home/apt,177,2,194,2023-06-09,2.59,1,68,42,
458510,Rental unit in Edinburgh · ★4.86 · 1 bedroom · 1 bed · 1 bath,2280137,Gill,,Deans Village,55.95296,-3.20537,Entire home/apt,117,4,267,2023-06-08,1.99,12,86,35,
44552,Condo in Edinburgh · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,195950,Shaun,,South Leith,55.96612,-3.17184,Private room,48,4,267,2023-05-28,1.71,1,10,40,
480324,Rental unit in Edinburgh · ★4.83 · 3 bedrooms · 5 beds · 2.5 baths,2378566,Heather,,North Leith and Newhaven,55.97637,-3.17675,Entire home/apt,136,3,82,2023-05-27,0.78,2,55,15,
48645,Condo in Edinburgh · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,221474,Mark,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18305,Private room,141,2,952,2023-06-09,6.32,2,35,62,
485856,Rental unit in Edinburgh · ★4.74 · 2 bedrooms · 4 beds · 1 bath,2404912,Carol,,"Canongate, Southside and Dumbiedykes",55.95222,-3.1770599,Entire home/apt,157,2,484,2023-05-26,3.65,3,8,67,
51505,Rental unit in Edinburgh · ★4.70 · 2 bedrooms · 4 beds · 1 bath,236828,Francois,,New Town West,55.9548,-3.19641,Entire home/apt,155,2,38,2023-05-22,0.25,14,2,26,
500696,Rental unit in Edinburgh · ★4.72 · 1 bedroom · 1 bed · 1 bath,224444157,Sue And Grant,,Tollcross,55.94451,-3.2036,Entire home/apt,90,3,336,2023-06-09,2.50,26,7,57,
509191,Condo in Edinburgh · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,851172,Zeb David,,Easter Road and Hawkhill Avenue,55.961281,-3.171197,Private room,56,1,29,2023-04-26,0.22,15,153,12,
54188,Boat in Edinburgh · ★4.61 · 3 bedrooms · 2 beds · 1.5 baths,253850,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,225,1,43,2022-07-03,0.33,2,181,1,
513895,Rental unit in Edinburgh · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,2531629,Karyn,,Deans Village,55.95005,-3.21074,Entire home/apt,221,2,129,2023-06-06,1.34,1,143,19,
55881,Rental unit in Edinburgh · ★4.83 · 4 bedrooms · 5 beds · 1 bath,264345,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Entire home/apt,180,2,323,2023-06-10,2.18,1,2,36,
516445,Condo in Edinburgh · ★4.74 · 2 bedrooms · 2 beds · 2 baths,1801836,Shahid,,"Canongate, Southside and Dumbiedykes",55.95101,-3.17653,Entire home/apt,270,2,192,2023-05-21,1.46,4,148,13,
58682,Rental unit in Edinburgh · ★4.92 · 4 bedrooms · 7 beds · 2 baths,281109,Rona,,Comely Bank,55.95508,-3.21625,Entire home/apt,230,4,151,2023-05-25,1.27,3,23,17,
65216,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,318793,Sandy,,"Old Town, Princes Street and Leith Street",55.95011,-3.18748,Entire home/apt,100,365,102,2013-12-29,0.69,1,365,0,
520802,Condo in Edinburgh · ★4.98 · 3 bedrooms · 4 beds · 2 baths,2562187,Marta,,Abbeyhill,55.95397,-3.16811,Entire home/apt,166,2,179,2023-06-10,1.35,1,26,80,
74877,Loft in Edinburgh · ★4.80 · 2 bedrooms · 3 beds · 2 baths,394949,Derek,,North Leith and Newhaven,55.97785,-3.17872,Entire home/apt,180,2,153,2023-05-31,1.10,1,198,26,
85620,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,334208,Carrie,,Leith (Albert Street),55.96252,-3.17595,Entire home/apt,96,2,659,2023-06-10,4.53,1,2,88,
521385,Rental unit in Edinburgh · ★4.95 · 1 bedroom · 1 bed · 1 bath,2564448,Fiona,,"Old Town, Princes Street and Leith Street",55.94694,-3.19443,Entire home/apt,195,3,300,2023-04-21,2.24,2,87,26,
93904,Rental unit in Edinburgh · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,502783,Brett,,Deans Village,55.94571,-3.2189,Private room,78,1,599,2023-06-08,4.07,1,64,60,
97472,Rental unit in Edinburgh · ★4.50 · 2 bedrooms · 2 beds · 1 bath,486859,Alan,,Morningside,55.93,-3.20995,Entire home/apt,75,300,38,2021-08-30,0.26,1,284,0,
530628,Home in Edinburgh · ★4.48 · 5 bedrooms · 15 beds · 3.5 baths,2605039,John,,Deans Village,55.94924,-3.21623,Entire home/apt,279,1,221,2023-06-05,1.66,2,229,52,
531292,Condo in Edinburgh · ★4.85 · 2 bedrooms · 2 beds · 1 bath,2609833,Allan,,"Old Town, Princes Street and Leith Street",55.95067,-3.18424,Entire home/apt,110,2,573,2023-06-07,4.43,1,86,69,
545821,Home in Edinburgh · ★4.94 · 2 bedrooms · 3 beds · 1 shared bath,2683229,Sue,,Baberton and Juniper Green,55.909177,-3.287099,Private room,68,2,376,2023-06-07,2.85,1,38,42,
112625,Rental unit in Edinburgh · ★4.83 · 4 bedrooms · 5 beds · 1.5 baths,574430,Michele,,Meadows and Southside,55.93865,-3.1794,Entire home/apt,444,2,142,2023-04-23,0.98,1,21,18,
551652,Rental unit in Edinburgh · ★4.72 · 1 bedroom · 1 bed · 1.5 baths,2710898,Danielle,,Portobello,55.95852,-3.12248,Entire home/apt,65,3,94,2023-02-25,0.71,2,0,9,
118314,Rental unit in Edinburgh · ★4.87 · 2 bedrooms · 3 beds · 1 bath,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96814,-3.16032,Entire home/apt,160,2,221,2023-05-29,1.51,11,76,13,
551686,Condo in Edinburgh · ★4.73 · 1 bedroom · 1 bed · 1 bath,2710898,Danielle,,Portobello,55.95814514160156,-3.1230289936065674,Entire home/apt,119,3,88,2023-05-31,0.67,2,3,9,
562350,Rental unit in Edinburgh · ★4.72 · 2 bedrooms · 2 beds · 1 bath,2765595,Morris,,Deans Village,55.95246,-3.20368,Entire home/apt,229,3,61,2023-04-27,0.50,3,83,19,
122930,Rental unit in Edinburgh · ★4.88 · 1 bedroom · 1 bed · 1 bath,615381,James,,Meadowbank and Abbeyhill North,55.95851,-3.17078,Entire home/apt,109,4,799,2023-06-10,5.60,2,240,52,
142356,Rental unit in Edinburgh · ★4.57 · 1 bedroom · 1 bed · 1 bath,691610,Simon,,New Town West,55.95743,-3.20036,Entire home/apt,129,3,57,2023-05-31,0.39,1,1,13,
568026,Rental unit in Edinburgh · ★4.97 · 2 bedrooms · 3 beds · 1 bath,2794963,Derek,,Polwarth,55.93792,-3.22166,Entire home/apt,55,3,352,2020-08-31,2.66,1,0,0,
159769,Rental unit in Edinburgh · 2 bedrooms · 2 beds · 2.5 baths,273097,Lyn,,Newington and Dalkeith Road,55.93802,-3.17812,Entire home/apt,1500,7,1,2017-01-03,0.01,2,362,0,
573745,Rental unit in Edinburgh · ★4.70 · 2 bedrooms · 3 beds · 1 bath,2823210,Jessica,,South Leith,55.96673,-3.17416,Entire home/apt,127,2,278,2023-06-09,2.10,1,73,61,
579038,Rental unit in Edinburgh · ★4.58 · 2 bedrooms · 4 beds · 1 bath,2765595,Morris,,The Shore and Constitution Street,55.97177,-3.16851,Entire home/apt,204,3,25,2023-05-21,0.21,3,254,11,
